Date,BNM_OPR,MGS_3Y,MGS_5Y,MGS_10Y
2018-01-01,3.25,3.556,3.807,4.057
2018-01-02,3.25,3.548,3.798,4.048
2018-01-03,3.25,3.558,3.809,4.06
2018-01-04,3.25,3.568,3.821,4.073
2018-01-05,3.25,3.547,3.797,4.046
2018-01-08,3.25,3.547,3.797,4.046
2018-01-09,3.25,3.569,3.821,4.074
2018-01-10,3.25,3.559,3.81,4.062
2018-01-11,3.25,3.544,3.794,4.043
2018-01-12,3.25,3.557,3.807,4.058
2018-01-15,3.25,3.544,3.794,4.043
2018-01-16,3.25,3.544,3.794,4.043
2018-01-17,3.25,3.553,3.803,4.054
2018-01-18,3.25,3.527,3.774,4.021
2018-01-19,3.25,3.529,3.777,4.024
2018-01-22,3.25,3.543,3.792,4.042
2018-01-23,3.25,3.538,3.786,4.035
2018-01-24,3.25,3.554,3.804,4.055
2018-01-25,3.25,3.539,3.788,4.036
2018-01-26,3.25,3.533,3.781,4.029
2018-01-29,3.25,3.568,3.82,4.072
2018-01-30,3.25,3.547,3.797,4.047
2018-01-31,3.25,3.551,3.801,4.051
2018-02-01,3.25,3.533,3.781,4.029
2018-02-02,3.25,3.543,3.793,4.042
2018-02-05,3.25,3.551,3.801,4.052
2018-02-06,3.25,3.536,3.784,4.033
2018-02-07,3.25,3.555,3.805,4.056
2018-02-08,3.25,3.543,3.792,4.041
2018-02-09,3.25,3.546,3.796,4.046
2018-02-12,3.25,3.543,3.792,4.041
2018-02-13,3.25,3.572,3.825,4.078
2018-02-14,3.25,3.55,3.8,4.05
2018-02-15,3.25,3.537,3.786,4.034
2018-02-16,3.25,3.56,3.811,4.062
2018-02-19,3.25,3.535,3.784,4.032
2018-02-20,3.25,3.553,3.803,4.053
2018-02-21,3.25,3.526,3.774,4.021
2018-02-22,3.25,3.534,3.782,4.03
2018-02-23,3.25,3.552,3.803,4.053
2018-02-26,3.25,3.559,3.81,4.061
2018-02-27,3.25,3.552,3.802,4.053
2018-02-28,3.25,3.549,3.798,4.048
2018-03-01,3.25,3.546,3.796,4.045
2018-03-02,3.25,3.532,3.78,4.028
2018-03-05,3.25,3.541,3.79,4.039
2018-03-06,3.25,3.544,3.794,4.043
2018-03-07,3.25,3.563,3.814,4.066
2018-03-08,3.25,3.554,3.805,4.055
2018-03-09,3.25,3.529,3.776,4.024
2018-03-12,3.25,3.554,3.804,4.055
2018-03-13,3.25,3.545,3.795,4.044
2018-03-14,3.25,3.542,3.791,4.04
2018-03-15,3.25,3.557,3.808,4.059
2018-03-16,3.25,3.562,3.814,4.065
2018-03-19,3.25,3.561,3.813,4.064
2018-03-20,3.25,3.54,3.789,4.037
2018-03-21,3.25,3.546,3.796,4.045
2018-03-22,3.25,3.554,3.804,4.055
2018-03-23,3.25,3.562,3.813,4.065
2018-03-26,3.25,3.544,3.794,4.043
2018-03-27,3.25,3.548,3.797,4.047
2018-03-28,3.25,3.537,3.785,4.033
2018-03-29,3.25,3.536,3.784,4.032
2018-03-30,3.25,3.56,3.811,4.062
2018-04-02,3.25,3.566,3.818,4.07
2018-04-03,3.25,3.549,3.799,4.049
2018-04-04,3.25,3.562,3.814,4.065
2018-04-05,3.25,3.554,3.805,4.055
2018-04-06,3.25,3.542,3.791,4.04
2018-04-09,3.25,3.554,3.805,4.055
2018-04-10,3.25,3.568,3.821,4.073
2018-04-11,3.25,3.55,3.8,4.049
2018-04-12,3.25,3.569,3.821,4.073
2018-04-13,3.25,3.519,3.765,4.011
2018-04-16,3.25,3.56,3.811,4.062
2018-04-17,3.25,3.551,3.801,4.051
2018-04-18,3.25,3.546,3.796,4.046
2018-04-19,3.25,3.551,3.801,4.051
2018-04-20,3.25,3.526,3.773,4.02
2018-04-23,3.25,3.547,3.797,4.047
2018-04-24,3.25,3.554,3.805,4.055
2018-04-25,3.25,3.568,3.82,4.072
2018-04-26,3.25,3.544,3.793,4.042
2018-04-27,3.25,3.54,3.789,4.038
